kind,score,w,h,path
FP_real_called_AI,0.802,506,640,data/coco_orig/val2017/000000085665.jpg
FP_real_called_AI,0.478,640,426,data/coco_orig/val2017/000000263860.jpg
FP_real_called_AI,0.431,640,425,data/coco_orig/val2017/000000493613.jpg
FP_real_called_AI,0.377,640,554,data/coco_orig/val2017/000000419098.jpg
FP_real_called_AI,0.352,640,433,data/coco_orig/val2017/000000557672.jpg
FP_real_called_AI,0.317,640,427,data/coco_orig/val2017/000000392481.jpg
FP_real_called_AI,0.316,640,427,data/coco_orig/val2017/000000365095.jpg
FP_real_called_AI,0.307,640,417,data/coco_orig/val2017/000000405306.jpg
FP_real_called_AI,0.292,640,480,data/coco_orig/val2017/000000292155.jpg
FP_real_called_AI,0.259,640,371,data/coco_orig/val2017/000000555705.jpg
FP_real_called_AI,0.248,512,640,data/coco_orig/val2017/000000021604.jpg
FP_real_called_AI,0.245,612,612,data/coco_orig/val2017/000000127624.jpg
FP_real_called_AI,0.238,640,467,data/coco_orig/val2017/000000216419.jpg
FP_real_called_AI,0.233,480,640,data/coco_orig/val2017/000000257896.jpg
FP_real_called_AI,0.217,640,480,data/coco_orig/val2017/000000475732.jpg
FP_real_called_AI,0.209,612,612,data/coco_orig/val2017/000000105335.jpg
FP_real_called_AI,0.209,640,640,data/coco_orig/val2017/000000493772.jpg
FP_real_called_AI,0.204,640,425,data/coco_orig/val2017/000000361571.jpg
FP_real_called_AI,0.199,640,480,data/coco_orig/val2017/000000389933.jpg
FP_real_called_AI,0.180,498,500,data/coco_orig/val2017/000000028809.jpg
FN_dalle_called_real,0.001,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/8a0d142552079e2ad75045d99aaeda49.jpg
FN_dalle_called_real,0.002,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/20231103102150b17aad067ad7e034/6f0f61883f111368d770c54801f33449.jpg
FN_dalle_called_real,0.003,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/202311011943129901ca391019566e/bc4f55669a460e52812e961d7e8950d1.jpg
FN_dalle_called_real,0.004,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/20231102143933b82206831d45b85d/4e555e27eb0b701a3191ca1efbd57e00.jpg
FN_dalle_called_real,0.004,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/202311070924598319e76b1a88ba6c/a578357c6a0819ee1a1c71dd976cc7af.jpg
FN_dalle_called_real,0.006,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/20231103102150b17aad067ad7e034/59896c6f1b91828d0d48e9d815ab64e8.jpg
FN_dalle_called_real,0.007,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/20231103102150b17aad067ad7e034/8434eded6834acc7f333c22c97598cd6.jpg
FN_dalle_called_real,0.009,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/20231102143933b82206831d45b85d/0d41679fd08b657de692be3741b6b578.jpg
FN_dalle_called_real,0.009,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/202311070924598319e76b1a88ba6c/3dab73a678eda7f744efbfc754de63a3.jpg
FN_dalle_called_real,0.009,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/20231102143933b82206831d45b85d/3dab73a678eda7f744efbfc754de63a3.jpg
FN_dalle_called_real,0.010,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/202311070924598319e76b1a88ba6c/d278dbde6722ccd3f4ce763649fd4903.jpg
FN_dalle_called_real,0.010,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/2023110215025084768300d30fc34f/d278dbde6722ccd3f4ce763649fd4903.jpg
FN_dalle_called_real,0.011,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/2023110215025084768300d30fc34f/e9243efea9e594f016280a375b96d6ab.jpg
FN_dalle_called_real,0.013,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/20231102143933b82206831d45b85d/9ed9f5dbc590a85bb6a52980cc85484f.jpg
FN_dalle_called_real,0.013,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/2023110215025084768300d30fc34f/9ed9f5dbc590a85bb6a52980cc85484f.jpg
FN_dalle_called_real,0.014,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/202311070924598319e76b1a88ba6c/c0b8b12f602a718b413ba878a3d6c720.jpg
FN_dalle_called_real,0.015,1792,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/20231103102150b17aad067ad7e034/95084052d86affb5a42533eb2a8b8dc5.jpg
FN_dalle_called_real,0.016,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/20231103102150b17aad067ad7e034/25070761234eadcd2dee2130d2e3f40b.jpg
FN_dalle_called_real,0.016,1024,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/202311070924598319e76b1a88ba6c/25070761234eadcd2dee2130d2e3f40b.jpg
FN_dalle_called_real,0.017,1792,1024,data/wildfake/raw/Images/Diffusion_based/DALLE/DALLE/Advanced/DALLE3/dalle3/2023110215025084768300d30fc34f/bdf13e05e146afb53faea1e5916f0d70.jpg
