train 20000 val 3000
train: 500/20000 (90.9/s, eta 4m)
train: 1000/20000 (91.1/s, eta 3m)
train: 1500/20000 (91.1/s, eta 3m)
train: 2000/20000 (91.1/s, eta 3m)
train: 2500/20000 (90.9/s, eta 3m)
train: 3000/20000 (90.7/s, eta 3m)
train: 3500/20000 (90.5/s, eta 3m)
train: 4000/20000 (90.4/s, eta 3m)
train: 4500/20000 (90.2/s, eta 3m)
train: 5000/20000 (90.1/s, eta 3m)
train: 5500/20000 (90.0/s, eta 3m)
train: 6000/20000 (89.9/s, eta 3m)
train: 6500/20000 (89.9/s, eta 3m)
train: 7000/20000 (89.8/s, eta 2m)
train: 7500/20000 (89.7/s, eta 2m)
train: 8000/20000 (89.7/s, eta 2m)
train: 8500/20000 (89.7/s, eta 2m)
train: 9000/20000 (89.6/s, eta 2m)
train: 9500/20000 (89.5/s, eta 2m)
train: 10000/20000 (89.5/s, eta 2m)
train: 10500/20000 (89.4/s, eta 2m)
train: 11000/20000 (89.4/s, eta 2m)
train: 11500/20000 (89.4/s, eta 2m)
train: 12000/20000 (89.5/s, eta 1m)
train: 12500/20000 (89.4/s, eta 1m)
train: 13000/20000 (89.4/s, eta 1m)
train: 13500/20000 (89.4/s, eta 1m)
train: 14000/20000 (89.3/s, eta 1m)
train: 14500/20000 (89.3/s, eta 1m)
train: 15000/20000 (89.3/s, eta 1m)
train: 15500/20000 (89.3/s, eta 1m)
train: 16000/20000 (89.3/s, eta 1m)
train: 16500/20000 (89.3/s, eta 1m)
train: 17000/20000 (89.3/s, eta 1m)
train: 17500/20000 (89.3/s, eta 0m)
train: 18000/20000 (89.3/s, eta 0m)
slurmstepd-mio03: error: *** JOB 12 ON mio03 CANCELLED AT 2026-08-28T02:09:34 ***
